productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3,source_set_file,source_set_name,extAttack4,isstarter,islegendary,ismythical,isgoldstar,istrainer,iseeveelution,isdeltaspecies,log_market_price,generation,isEXcard
83582,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83582_200w.jpg,3,1419,https://cpt.tcgcsv.com/GrH,2024-04-11T17:48:06.147,1,18/112,Rare,Fire,90.0,Stage 1,[R] Flare (20),"[3R] Heat Tackle (70)
<br>Arcanine does 10 damage to itself.",W,,2.0,0.49,1.71,4321.0,1.85,,Normal,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,0.6151856390902335,Gen 1,False
83582,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83582_200w.jpg,3,1419,https://cpt.tcgcsv.com/GrH,2024-04-11T17:48:06.147,1,18/112,Rare,Fire,90.0,Stage 1,[R] Flare (20),"[3R] Heat Tackle (70)
<br>Arcanine does 10 damage to itself.",W,,2.0,74.31,118.72,218.0,61.49,,Reverse Holofoil,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,4.118874559965378,Gen 1,False
83654,Articuno ex,Articuno ex,https://tcgplayer-cdn.tcgplayer.com/product/83654_200w.jpg,3,1419,https://cpt.tcgcsv.com/6tH,2024-04-11T17:48:06.437,1,114/112,Secret Rare,Water,110.0,Basic,"[1WW] Cold Crush (50) 
<br>You may discard an Energy card attached to Articuno ex.  If you do, your opponent discards an Energy card attached to the Defending Pokemon.",,M,,2.0,169.99,305.98,399.99,106.68,,Holofoil,"<b>Poke-POWER</b> Legendary Ascent <br>
<br>Once during your turn, when you put Articuno ex from your hand onto your Bench, you may switch 1 of your Active Pokemon with Articuno ex.  If you do, you may also move any number of basic Water Energy cards attached to your Pokemon to Articuno ex.",,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,True,False,False,False,False,False,4.669833699313814,Gen 1,True
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90.0,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,,0.0,4.82,12.5,140.0,8.18,,Normal,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,2.101692150614656,Gen 1,False
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90.0,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,,0.0,7.39,11.61,4321.0,11.61,11.69,Holofoil,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,2.4518667957098,Gen 1,False
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90.0,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,,0.0,79.0,129.35,179.7,19.49,,Reverse Holofoil,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,2.9699015135194693,Gen 1,False
83807,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/83807_200w.jpg,3,1419,https://cpt.tcgcsv.com/9xH,2026-02-04T00:05:22.807,1,53/112,Common,Grass,50.0,Basic,[G] Vine Whip (10),,R,,1.0,0.71,2.01,28.0,1.68,,Normal,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,0.5187937934151675,Gen 1,False
83807,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/83807_200w.jpg,3,1419,https://cpt.tcgcsv.com/9xH,2026-02-04T00:05:22.807,1,53/112,Common,Grass,50.0,Basic,[G] Vine Whip (10),,R,,1.0,57.99,99.99,598.83,14.11,99.99,Reverse Holofoil,,,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,False,False,False,2.646883765864722,Gen 1,False
83838,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83838_200w.jpg,3,1419,https://cpt.tcgcsv.com/NxH,2026-01-27T22:31:08.13,1,87/112,Uncommon,Supporter,,,,,,,,0.08,0.29,20.28,0.27,0.16,Normal,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>
<br>
<br>If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,True,False,False,-1.3093333199837622,Non-Pokemon,False
83838,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83838_200w.jpg,3,1419,https://cpt.tcgcsv.com/NxH,2026-01-27T22:31:08.13,1,87/112,Uncommon,Supporter,,,,,,,,2.18,4.49,41.1,2.85,,Reverse Holofoil,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>
<br>
<br>If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",,FireRedAndLeafGreenProductsAndPrices.csv,FireRedAndLeafGreen,,False,False,False,False,True,False,False,1.0473189942805592,Non-Pokemon,False
